Day(35.0%TBInfectionONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
11448 32.11000000000001 53.980000000000004 5.0200000000000005 9.009999999999998
11472 32.1 53.970000000000006 5.029999999999999 9.02
11496 32.11 53.959999999999994 5.029999999999999 9.02
11520 32.11 53.95000000000001 5.0200000000000005 9.04
11544 32.11 53.94 5.0200000000000005 9.049999999999999
11568 32.11000000000001 53.930000000000014 5.029999999999999 9.049999999999999
11592 32.10000000000001 53.92 5.029999999999999 9.069999999999999
11616 32.10000000000001 53.92 5.029999999999999 9.069999999999999
11640 32.11000000000001 53.89999999999999 5.029999999999999 9.079999999999998
11664 32.120000000000005 53.89000000000001 5.029999999999999 9.079999999999998
11688 32.120000000000005 53.89000000000001 5.029999999999999 9.079999999999998
11712 32.099999999999994 53.900000000000006 5.0200000000000005 9.1
11736 32.11 53.900000000000006 4.989999999999999 9.12
11760 32.1 53.89000000000001 5.01 9.12
11784 32.12 53.870000000000005 5.0 9.129999999999999
11808 32.12 53.85000000000001 5.01 9.139999999999999
11832 32.11 53.839999999999996 5.01 9.159999999999998
11856 32.099999999999994 53.839999999999996 5.01 9.169999999999998
11880 32.13 53.839999999999996 4.9799999999999995 9.169999999999998
11904 32.14 53.839999999999996 4.97 9.169999999999998
11928 32.15 53.839999999999996 4.959999999999999 9.169999999999998
11952 32.14 53.82 4.989999999999999 9.169999999999998
11976 32.13 53.81 5.0 9.18
12000 32.13 53.78000000000001 5.029999999999999 9.18
12024 32.14 53.77000000000001 5.029999999999999 9.18
12048 32.15 53.74000000000001 5.050000000000001 9.18
12072 32.16 53.760000000000005 5.0200000000000005 9.18
12096 32.16 53.75000000000001 5.0200000000000005 9.19
12120 32.16 53.73000000000001 5.04 9.19
12144 32.17 53.72000000000001 5.029999999999999 9.2
12168 32.17 53.72000000000001 5.0200000000000005 9.209999999999999
12192 32.18 53.710000000000015 5.0200000000000005 9.209999999999999
12216 32.16 53.72000000000001 5.01 9.229999999999999
12240 32.17 53.72000000000001 4.989999999999999 9.239999999999998
12264 32.17 53.7 4.989999999999999 9.259999999999998
12288 32.17 53.690000000000005 5.0 9.259999999999998
12312 32.190000000000005 53.66 5.01 9.259999999999998
12336 32.2 53.66 4.989999999999999 9.269999999999998
12360 32.2 53.64 5.0 9.279999999999998
12384 32.21 53.65 4.9799999999999995 9.279999999999998
12408 32.21 53.63 5.0 9.279999999999998
12432 32.21 53.62000000000001 5.01 9.279999999999998
12456 32.21 53.59 5.04 9.279999999999998
12480 32.21 53.59 5.04 9.279999999999998
12504 32.199999999999996 53.580000000000005 5.06 9.279999999999998
12528 32.21999999999999 53.580000000000005 5.0200000000000005 9.299999999999999
12552 32.22999999999999 53.56000000000002 5.029999999999999 9.299999999999999
12576 32.24999999999999 53.55000000000001 5.0 9.319999999999999
12600 32.239999999999995 53.540000000000006 5.0200000000000005 9.319999999999999
12624 32.22999999999999 53.52000000000001 5.04 9.329999999999998
12648 32.239999999999995 53.510000000000005 5.0200000000000005 9.349999999999998
12672 32.239999999999995 53.49999999999999 5.029999999999999 9.349999999999998
12696 32.25 53.49999999999999 5.0200000000000005 9.349999999999998
12720 32.25 53.48 5.029999999999999 9.36
12744 32.269999999999996 53.459999999999994 5.0200000000000005 9.369999999999997
12768 32.269999999999996 53.449999999999996 5.029999999999999 9.369999999999997
12792 32.25 53.459999999999994 5.029999999999999 9.379999999999997
12816 32.26 53.459999999999994 5.01 9.389999999999999
12840 32.29 53.459999999999994 4.9799999999999995 9.389999999999999
12864 32.3 53.449999999999996 4.9799999999999995 9.389999999999999
12888 32.31 53.42 4.989999999999999 9.399999999999999
12912 32.300000000000004 53.42 5.0 9.399999999999999
12936 32.269999999999996 53.43 5.0200000000000005 9.399999999999999
12960 32.26 53.45000000000001 4.989999999999999 9.419999999999998
12984 32.28 53.44 4.9799999999999995 9.419999999999998
13008 32.28 53.43 4.989999999999999 9.419999999999998
13032 32.300000000000004 53.410000000000004 4.989999999999999 9.419999999999998
13056 32.300000000000004 53.400000000000006 5.0 9.419999999999998
13080 32.31 53.410000000000004 4.97 9.429999999999998
13104 32.31 53.410000000000004 4.97 9.429999999999998
13128 32.31 53.400000000000006 4.9799999999999995 9.429999999999998
13152 32.31 53.38 5.0 9.429999999999998
13176 32.300000000000004 53.36000000000001 5.029999999999999 9.429999999999998
13200 32.300000000000004 53.37 5.01 9.439999999999998
13224 32.300000000000004 53.36000000000001 5.01 9.45
13248 32.300000000000004 53.36000000000001 5.01 9.45
13272 32.29 53.36000000000001 5.01 9.459999999999999
13296 32.29 53.349999999999994 5.0200000000000005 9.459999999999999
13320 32.31 53.349999999999994 4.989999999999999 9.469999999999997
13344 32.31 53.32999999999999 4.989999999999999 9.489999999999998
13368 32.31 53.31999999999999 5.0 9.489999999999998
13392 32.31 53.30999999999999 4.989999999999999 9.51
13416 32.34 53.30999999999999 4.919999999999999 9.549999999999999
13440 32.34 53.30999999999999 4.909999999999999 9.559999999999999
13464 32.34 53.300000000000004 4.919999999999999 9.559999999999999
13488 32.35 53.28999999999999 4.889999999999999 9.589999999999998
13512 32.35 53.300000000000004 4.88 9.589999999999998
13536 32.34 53.290000000000006 4.889999999999999 9.6
13560 32.35 53.239999999999995 4.909999999999999 9.619999999999997
13584 32.37 53.21999999999999 4.8999999999999995 9.629999999999999
13608 32.370000000000005 53.21 4.909999999999999 9.629999999999999
13632 32.370000000000005 53.16000000000001 4.959999999999999 9.629999999999999
13656 32.38 53.16000000000001 4.949999999999999 9.629999999999999
13680 32.38 53.14000000000001 4.97 9.629999999999999
13704 32.38 53.13000000000001 4.97 9.639999999999999
13728 32.36 53.110000000000014 4.989999999999999 9.659999999999998
13752 32.35 53.1 4.989999999999999 9.679999999999998
13776 32.35 53.06999999999999 5.0 9.7
13800 32.36 53.059999999999995 5.0 9.7
13824 32.36 53.05 4.989999999999999 9.719999999999999
13848 32.37 53.02 5.0 9.729999999999999
13872 32.36 53.010000000000005 4.989999999999999 9.76
13896 32.35 52.980000000000004 5.0200000000000005 9.769999999999998
13920 32.34 52.980000000000004 5.0200000000000005 9.779999999999998
13944 32.35 52.980000000000004 5.0 9.79
13968 32.36 52.970000000000006 4.989999999999999 9.799999999999999
13992 32.35 52.95000000000001 5.0 9.819999999999999
14016 32.35 52.95000000000001 5.0 9.819999999999999
14040 32.32000000000001 52.980000000000004 4.989999999999999 9.829999999999998
14064 32.32000000000001 52.980000000000004 4.989999999999999 9.829999999999998
14088 32.32000000000001 52.97000000000002 4.989999999999999 9.839999999999998
14112 32.32000000000001 52.95000000000001 5.0 9.85
14136 32.31 52.94000000000001 4.989999999999999 9.879999999999999
14160 32.330000000000005 52.94000000000001 4.97 9.879999999999999
14184 32.31 52.93 5.0 9.879999999999999
14208 32.31 52.90000000000001 5.029999999999999 9.879999999999999
14232 32.31 52.89 5.029999999999999 9.889999999999999
14256 32.29 52.87 5.050000000000001 9.91
14280 32.269999999999996 52.85000000000001 5.09 9.91
14304 32.24999999999999 52.870000000000005 5.09 9.91
14328 32.239999999999995 52.84000000000001 5.12 9.919999999999998
14352 32.239999999999995 52.84000000000001 5.12 9.919999999999998
14376 32.25 52.84000000000001 5.1000000000000005 9.929999999999998
14400 32.26 52.80000000000001 5.12 9.94
14424 32.26 52.76 5.16 9.94
14448 32.27 52.76 5.140000000000001 9.95
14472 32.26 52.76 5.140000000000001 9.959999999999999
14496 32.28 52.75000000000001 5.13 9.959999999999999
14520 32.28 52.76 5.11 9.969999999999999
14544 32.28 52.76 5.1000000000000005 9.979999999999999
14568 32.29 52.76 5.08 9.989999999999998
14592 32.300000000000004 52.76 5.06 10.0
14616 32.29 52.76 5.050000000000001 10.02
14640 32.300000000000004 52.75 5.04 10.03
14664 32.300000000000004 52.75 5.04 10.03
14688 32.32 52.73 5.029999999999999 10.040000000000001
14712 32.300000000000004 52.73 5.050000000000001 10.040000000000001
