Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
7008 42.63 41.17 6.510000000000001 9.869999999999997
7032 42.62 41.18000000000001 6.510000000000001 9.869999999999997
7056 42.62 41.17000000000001 6.4799999999999995 9.91
7080 42.62 41.17000000000001 6.4799999999999995 9.91
7104 42.6 41.14 6.52 9.919999999999998
7128 42.59 41.14 6.52 9.929999999999998
7152 42.59 41.13 6.52 9.94
7176 42.56 41.14 6.52 9.959999999999999
7200 42.56 41.14 6.49 9.989999999999998
7224 42.56 41.14 6.45 10.03
7248 42.56 41.120000000000005 6.459999999999999 10.040000000000001
7272 42.56 41.11 6.45 10.059999999999999
7296 42.55 41.089999999999996 6.470000000000001 10.069999999999999
7320 42.55 41.07999999999999 6.459999999999999 10.09
7344 42.540000000000006 41.080000000000005 6.47 10.09
7368 42.53 41.089999999999996 6.439999999999999 10.12
7392 42.519999999999996 41.1 6.439999999999999 10.12
7416 42.519999999999996 41.080000000000005 6.449999999999998 10.129999999999999
7440 42.519999999999996 41.07 6.459999999999999 10.129999999999999
7464 42.519999999999996 41.06000000000001 6.459999999999999 10.14
7488 42.510000000000005 41.050000000000004 6.47 10.149999999999999
7512 42.5 41.04 6.4799999999999995 10.16
7536 42.440000000000005 41.1 6.459999999999999 10.18
7560 42.400000000000006 41.1 6.489999999999998 10.19
7584 42.38000000000001 41.11 6.489999999999998 10.200000000000001
7608 42.370000000000005 41.089999999999996 6.509999999999999 10.209999999999999
7632 42.370000000000005 41.06999999999999 6.499999999999999 10.24
7656 42.309999999999995 41.099999999999994 6.52 10.25
7680 42.29999999999999 41.089999999999996 6.510000000000001 10.279999999999998
7704 42.29 41.07999999999999 6.529999999999999 10.279999999999998
7728 42.279999999999994 41.07 6.550000000000001 10.279999999999998
7752 42.279999999999994 41.07 6.539999999999998 10.29
7776 42.279999999999994 41.059999999999995 6.550000000000001 10.29
7800 42.26 41.07 6.550000000000001 10.299999999999997
7824 42.26 41.050000000000004 6.550000000000001 10.319999999999999
7848 42.25 41.050000000000004 6.559999999999999 10.319999999999999
7872 42.25 41.03000000000001 6.570000000000001 10.329999999999998
7896 42.25 41.010000000000005 6.570000000000001 10.35
7920 42.25 41.0 6.570000000000001 10.359999999999998
7944 42.25 41.0 6.570000000000001 10.359999999999998
7968 42.239999999999995 40.99 6.58 10.37
7992 42.239999999999995 40.98 6.570000000000001 10.389999999999999
8016 42.230000000000004 40.99 6.550000000000001 10.41
8040 42.21 40.98 6.550000000000001 10.439999999999998
8064 42.18 40.99 6.529999999999999 10.479999999999997
8088 42.18 40.98 6.52 10.499999999999998
8112 42.18 40.98 6.510000000000001 10.51
8136 42.18 40.98 6.499999999999999 10.52
8160 42.18 40.98 6.470000000000001 10.549999999999999
8184 42.18 40.98 6.470000000000001 10.549999999999999
8208 42.160000000000004 40.97 6.4799999999999995 10.569999999999999
8232 42.15000000000001 40.96 6.49 10.579999999999998
8256 42.13 40.9 6.549999999999999 10.599999999999998
8280 42.12 40.910000000000004 6.539999999999998 10.61
8304 42.11 40.92000000000001 6.529999999999999 10.62
8328 42.1 40.93 6.529999999999999 10.62
8352 42.1 40.910000000000004 6.539999999999998 10.629999999999999
8376 42.1 40.89 6.559999999999999 10.629999999999999
8400 42.08 40.9 6.549999999999999 10.65
8424 42.08 40.89 6.559999999999999 10.65
8448 42.08 40.89 6.549999999999999 10.659999999999998
8472 42.08 40.89 6.549999999999999 10.659999999999998
8496 42.08 40.88 6.52 10.7
8520 42.08 40.88 6.52 10.7
8544 42.04999999999999 40.9 6.510000000000001 10.719999999999999
8568 42.04 40.9 6.499999999999999 10.739999999999998
8592 42.029999999999994 40.9 6.49 10.759999999999998
8616 42.029999999999994 40.9 6.4799999999999995 10.77
8640 42.029999999999994 40.9 6.470000000000001 10.779999999999998
8664 42.029999999999994 40.9 6.470000000000001 10.779999999999998
8688 42.029999999999994 40.870000000000005 6.4799999999999995 10.799999999999999
8712 41.99 40.89 6.49 10.81
8736 41.980000000000004 40.89 6.49 10.819999999999999
8760 41.980000000000004 40.88 6.49 10.83
8784 41.94 40.910000000000004 6.4799999999999995 10.85
8808 41.94 40.910000000000004 6.45 10.879999999999997
8832 41.92 40.900000000000006 6.470000000000001 10.89
8856 41.92 40.88 6.49 10.89
8880 41.900000000000006 40.870000000000005 6.49 10.92
8904 41.89 40.88 6.4799999999999995 10.93
8928 41.89 40.870000000000005 6.4799999999999995 10.939999999999998
8952 41.89 40.870000000000005 6.470000000000001 10.95
8976 41.89 40.86 6.459999999999999 10.969999999999999
9000 41.89 40.86 6.439999999999999 10.99
9024 41.879999999999995 40.83 6.4799999999999995 10.99
9048 41.870000000000005 40.839999999999996 6.459999999999999 11.01
9072 41.85 40.839999999999996 6.4799999999999995 11.01
9096 41.82 40.84 6.49 11.03
9120 41.82 40.82 6.49 11.05
9144 41.790000000000006 40.84 6.49 11.059999999999999
9168 41.77000000000001 40.849999999999994 6.499999999999999 11.059999999999999
9192 41.77000000000001 40.82 6.529999999999999 11.059999999999999
9216 41.760000000000005 40.83 6.52 11.069999999999999
9240 41.72 40.84 6.539999999999998 11.079999999999998
9264 41.709999999999994 40.84 6.539999999999998 11.09
9288 41.709999999999994 40.83 6.539999999999998 11.099999999999998
9312 41.68999999999999 40.84 6.539999999999998 11.110000000000001
9336 41.68999999999999 40.84 6.510000000000001 11.139999999999999
9360 41.68999999999999 40.83 6.52 11.139999999999999
9384 41.669999999999995 40.849999999999994 6.509999999999999 11.15
9408 41.660000000000004 40.83 6.52 11.17
9432 41.65 40.83 6.4799999999999995 11.22
9456 41.65 40.83 6.459999999999999 11.240000000000002
9480 41.65 40.83 6.459999999999999 11.240000000000002
9504 41.64000000000001 40.81 6.459999999999999 11.27
9528 41.64000000000001 40.800000000000004 6.470000000000001 11.27
9552 41.63 40.790000000000006 6.4799999999999995 11.280000000000001
9576 41.6 40.800000000000004 6.49 11.29
9600 41.589999999999996 40.78000000000001 6.4799999999999995 11.33
9624 41.589999999999996 40.78000000000001 6.4799999999999995 11.33
9648 41.550000000000004 40.800000000000004 6.49 11.339999999999998
9672 41.550000000000004 40.800000000000004 6.49 11.339999999999998
9696 41.550000000000004 40.78000000000001 6.499999999999999 11.35
9720 41.529999999999994 40.78000000000001 6.52 11.35
9744 41.529999999999994 40.78000000000001 6.52 11.35
9768 41.529999999999994 40.77 6.510000000000001 11.37
9792 41.51999999999999 40.760000000000005 6.499999999999999 11.400000000000002
9816 41.50999999999999 40.760000000000005 6.499999999999999 11.41
9840 41.49999999999999 40.77 6.499999999999999 11.41
9864 41.49999999999999 40.77 6.49 11.420000000000002
9888 41.49999999999999 40.77 6.4799999999999995 11.43
9912 41.489999999999995 40.75 6.510000000000001 11.43
9936 41.48 40.75 6.52 11.43
9960 41.459999999999994 40.760000000000005 6.52 11.440000000000001
9984 41.449999999999996 40.77 6.52 11.440000000000001
10008 41.449999999999996 40.75 6.529999999999999 11.450000000000001
10032 41.449999999999996 40.739999999999995 6.539999999999998 11.450000000000001
10056 41.43999999999999 40.73 6.539999999999998 11.469999999999999
10080 41.42999999999999 40.73 6.550000000000001 11.469999999999999
10104 41.4 40.74999999999999 6.550000000000001 11.48
10128 41.4 40.739999999999995 6.550000000000001 11.49
10152 41.4 40.739999999999995 6.52 11.520000000000001
10176 41.370000000000005 40.739999999999995 6.529999999999999 11.540000000000001
10200 41.370000000000005 40.730000000000004 6.52 11.56
10224 41.370000000000005 40.730000000000004 6.52 11.56
10248 41.33 40.760000000000005 6.529999999999999 11.56
10272 41.33 40.760000000000005 6.529999999999999 11.56
10296 41.33 40.730000000000004 6.550000000000001 11.57
10320 41.33 40.730000000000004 6.550000000000001 11.57
10344 41.33 40.709999999999994 6.570000000000001 11.57
10368 41.33 40.7 6.58 11.57
10392 41.33 40.69 6.58 11.580000000000002
10416 41.33 40.67999999999999 6.58 11.59
10440 41.33 40.67 6.570000000000001 11.610000000000001
10464 41.33 40.650000000000006 6.58 11.62
