"Step","Total Residents","At Home","School","Water","Religion","restaurant","Health Center","Socialize","Work","Business"
"343","49451","31574","0","1378","951","1529","2747","4229","6238","807"
"344","49449","19009","0","2203","1397","2649","4485","7092","11209","1405"
"345","49449","11435","4627","2255","1262","2702","4529","7511","13558","1570"
"346","49448","9612","10766","1677","794","2026","3350","5740","14103","1380"
"347","49447","9850","11388","1512","707","1875","3053","5577","14110","1376"
"348","49447","13639","10436","1005","494","1363","2397","4148","14990","975"
"349","49447","14994","9866","886","469","1250","2260","3618","15285","819"
"350","49447","13115","12047","868","427","1190","2149","4083","14658","910"
"351","49445","10471","15044","804","402","1174","2005","4644","13915","988"
"352","49444","9708","17886","922","620","1255","2323","3775","11954","1001"
"353","49442","9615","17886","905","637","1238","2305","3844","11991","1023"
"354","49440","24523","6240","735","593","1013","1973","3982","9424","959"
"355","49439","32694","0","691","570","947","1904","3891","7866","877"
"356","49439","34010","0","624","516","861","1704","3627","7265","832"
"357","49439","46824","0","137","86","159","311","807","943","172"
"358","49437","48784","0","0","0","0","0","528","0","125"
"359","49437","48784","0","0","0","0","0","528","0","125"
"360","49437","48857","0","0","0","0","0","467","0","113"
"361","49435","49437","0","0","0","0","0","0","0","0"
"362","49434","49435","0","0","0","0","0","0","0","0"
"363","49431","49434","0","0","0","0","0","0","0","0"
"364","49431","49431","0","0","0","0","0","0","0","0"
"365","49429","49431","0","0","0","0","0","0","0","0"
"366","49427","38806","0","901","582","765","1616","2488","3777","492"
"367","49423","31799","0","1483","933","1347","2695","4165","6162","839"
"368","49419","19131","0","2307","1330","2177","4546","7224","11232","1472"
"369","49419","16603","1395","2339","1293","2191","4601","7433","12021","1543"
"370","49416","8013","8488","2280","1070","2062","4180","7116","14617","1593"
"371","49415","9497","11441","1686","699","1517","3103","5788","14282","1402"
"372","49412","12253","10753","1298","571","1232","2464","4785","14916","1140"
"373","49411","15384","9940","929","421","1034","2081","3579","15239","805"
"374","49409","11730","13670","877","418","958","2016","4452","14269","1019"
"375","49406","9878","15907","902","410","967","2042","4566","13686","1048"
"376","49403","8833","17960","981","506","1042","2262","3971","12845","1003"
"377","49401","9537","17960","998","651","1063","2293","3874","11977","1048"
"378","49398","11926","15937","930","619","1022","2193","3975","11753","1046"
"379","49396","32663","0","716","528","801","1907","3904","7995","884"
"380","49393","41083","0","401","276","430","1058","1968","3747","433"
"381","49392","47839","0","60","41","66","155","681","417","134"
"382","49390","48724","0","0","0","0","0","563","0","105"
"383","49390","48722","0","0","0","0","0","563","0","105"
"384","49389","49108","0","0","0","0","0","236","0","45"
"385","49384","49389","0","0","0","0","0","0","0","0"
"386","49384","49384","0","0","0","0","0","0","0","0"
"387","49384","49384","0","0","0","0","0","0","0","0"
"388","49383","49384","0","0","0","0","0","0","0","0"
"389","49383","49383","0","0","0","0","0","0","0","0"
"390","49382","35895","0","1199","754","879","2052","3136","4829","638"
"391","49380","34020","0","1386","846","1010","2350","3575","5458","737"
"392","49377","27695","0","1920","1117","1450","3372","5127","7640","1059"
"393","49376","18272","256","2544","1318","1993","4625","7332","11486","1551"
"394","49375","8915","10008","2093","861","1520","3729","6344","14361","1545"
"395","49374","9535","11383","1807","722","1292","3225","5681","14271","1459"
"396","49373","12407","10779","1362","540","995","2601","4692","14910","1087"
"397","49371","15233","9991","1079","451","816","2217","3586","15227","771"
"398","49368","11976","13337","983","450","785","2058","4432","14407","943"
"399","49367","9826","16080","916","447","792","2056","4584","13679","988"
"400","49366","9109","18091","996","575","824","2283","3992","12536","961"
"401","49366","9138","18091","966","661","836","2302","4064","12227","1081"
"402","49366","23338","7289","880","589","759","2035","3954","9506","1016"
"403","49366","32832","0","765","501","708","1826","3875","7917","942"
"404","49363","36091","0","623","418","584","1512","3113","6293","732"
"405","49362","47279","0","91","69","108","225","778","665","147"
"406","49361","48697","0","0","0","0","0","553","0","112"
"407","49360","48695","0","0","0","0","0","553","0","112"
"408","49360","49279","0","0","0","0","0","61","0","20"
"409","49357","49357","0","0","0","0","0","0","0","0"
"410","49356","49356","0","0","0","0","0","0","0","0"
"411","49355","49355","0","0","0","0","0","0","0","0"
"412","49352","49352","0","0","0","0","0","0","0","0"
"413","49350","49352","0","0","0","0","0","0","0","0"
"414","49350","45178","0","402","228","223","659","1010","1444","206"
"415","49347","29233","0","1944","1039","1153","3204","4865","6994","915"
"416","49345","23518","0","2337","1230","1471","3989","6301","9307","1192"
"417","49344","8247","6708","2822","1196","1751","4760","7784","14413","1664"
"418","49344","7565","7629","2762","1150","1697","4664","7598","14638","1641"
"419","49342","9292","11631","1897","706","1070","3185","5750","14374","1437"
"420","49338","9864","11555","1761","677","1013","2994","5568","14537","1373"
"421","49335","15298","9961","1030","465","678","2221","3640","15207","838"
"422","49335","11690","13838","981","462","635","2056","4541","14139","993"
"423","49334","9619","16344","946","475","635","2080","4552","13684","999"
"424","49332","8909","18128","1098","609","699","2361","4033","12517","980"
"425","49332","9099","18127","1030","700","675","2255","4180","12202","1064"
"426","49329","15835","12917","922","675","627","2105","4171","11033","1047"
"427","49328","32708","0","761","587","556","1901","3952","7953","910"
"428","49325","36275","0","604","452","438","1494","3149","6208","708"
"429","49325","46646","0","136","107","101","304","827","1024","180"
"430","49324","48653","0","0","0","0","0","549","0","122"
"431","49323","48653","0","0","0","0","0","549","0","122"
"432","49321","48759","0","0","0","0","0","464","0","100"
"433","49318","49321","0","0","0","0","0","0","0","0"
"434","49317","49318","0","0","0","0","0","0","0","0"
"435","49317","49317","0","0","0","0","0","0","0","0"
"436","49312","49317","0","0","0","0","0","0","0","0"
"437","49311","49311","0","0","0","0","0","0","0","0"
"438","49311","38106","0","1109","710","520","1693","2660","4000","513"
"439","49309","29695","0","1990","1130","940","3075","4702","6855","922"
"440","49309","28780","0","2078","1164","991","3194","4945","7203","954"
"441","49308","9954","5615","2957","1242","1450","4598","7722","14071","1700"
"442","49307","7629","7981","2813","1129","1410","4422","7516","14709","1699"
"443","49306","9244","11837","1856","704","863","3053","5946","14363","1440"
"444","49304","10559","11363","1641","663","774","2834","5554","14626","1292"
"445","49304","15333","9882","1029","465","546","2281","3709","15229","830"
"446","49304","14429","10580","1021","490","531","2274","3987","15097","895"
"447","49303","9633","16458","947","481","503","2107","4541","13580","1053"
"448","49302","8533","18094","1011","521","543","2237","4187","13123","1054"
"449","49302","9565","18094","1135","742","577","2304","3974","11811","1100"
"450","49301","29296","2418","884","629","546","1954","4013","8566","995"
"451","49301","32611","0","819","577","551","1870","3986","7922","965"
"452","49299","34108","0","738","507","504","1674","3633","7238","899"
"453","49299","47248","0","105","66","69","246","754","647","164"
"454","49298","48631","0","0","0","0","0","547","0","120"
"455","49296","48629","0","0","0","0","0","547","0","120"
"456","49296","48682","0","0","0","0","0","503","0","111"
"457","49294","49294","0","0","0","0","0","0","0","0"
"458","49294","49294","0","0","0","0","0","0","0","0"
"459","49294","49294","0","0","0","0","0","0","0","0"
"460","49292","49292","0","0","0","0","0","0","0","0"
"461","49290","49290","0","0","0","0","0","0","0","0"
"462","49290","46223","0","398","184","158","494","1291","201","341"
"463","49288","33041","0","2052","899","841","2733","6964","1026","1732"
"464","49286","21240","0","3387","1301","1584","4622","12230","1834","3088"
"465","49285","13181","0","4041","1589","2008","5854","15974","2436","4202"
