"Step","Susciptable","Exposed","LatentTB","LatentExposed","InfectedTB","Recovered","Dead"
"563","19464","11239","17319","6632","1106","0","873"
"564","19460","11240","17322","6639","1106","0","874"
"565","19445","11247","17328","6652","1106","0","875"
"566","19440","11250","17329","6658","1107","0","876"
"567","19428","11252","17335","6675","1109","0","877"
"568","19418","11252","17342","6690","1109","0","880"
"569","19418","11250","17344","6699","1109","0","880"
"570","19397","11267","17348","6716","1109","0","880"
"571","19394","11261","17357","6723","1109","0","880"
"572","19393","11252","17364","6728","1109","0","883"
"573","19393","11251","17365","6730","1109","0","884"
"574","19391","11246","17371","6734","1109","0","888"
"575","19389","11241","17374","6734","1109","0","888"
"576","19386","11235","17379","6735","1109","0","892"
"577","19384","11236","17379","6738","1110","0","892"
"578","19384","11232","17383","6739","1110","0","894"
"579","19381","11224","17391","6739","1110","0","895"
"580","19379","11218","17398","6739","1111","0","896"
"581","19378","11213","17402","6736","1112","0","896"
"582","19377","11207","17407","6734","1112","0","898"
"583","19376","11208","17406","6736","1113","0","901"
"584","19366","11203","17417","6746","1113","0","902"
"585","19358","11206","17419","6755","1114","0","904"
"586","19348","11212","17423","6767","1114","0","904"
"587","19335","11224","17423","6786","1114","0","905"
"588","19332","11226","17423","6791","1115","0","910"
"589","19323","11226","17427","6800","1115","0","911"
"590","19318","11230","17426","6807","1116","0","911"
"591","19304","11238","17426","6820","1119","0","914"
"592","19289","11244","17432","6839","1119","0","917"
"593","19287","11244","17434","6844","1119","0","919"
"594","19273","11249","17440","6860","1119","0","920"
"595","19269","11245","17447","6862","1120","0","922"
"596","19267","11243","17448","6862","1121","0","923"
"597","19265","11235","17456","6860","1121","0","924"
"598","19264","11229","17461","6860","1122","0","925"
"599","19264","11228","17462","6860","1122","0","925"
"600","19261","11225","17468","6860","1122","0","927"
"601","19260","11218","17475","6865","1121","0","927"
